"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1X;"C102,C101";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1u";;;
2X;"C208";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"1u";;;
3X;"C206,C214";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"4u7";;;
4X;"Y501,Y401,Y203";"Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm";3;"ECS-327KE";;;
5X;"C502";"C_0603_1608Metric";1;"2.2u";;;
6X;"C211,C210";"0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"27p";;;
7X;"U201";"LQFP-64_10x10mm_P0.5mm";1;"STM32F722RETx";;;
8X;"R205,R202,R410,R409,R407,R201,R408";"0402_1005Metric_Pad0.74x0.62mm_HandSolder";7;"10k";;;
9X;"C209X,C503X,C205X,C401X,C207X,C202X,C203X,C201X,C403X,C204X,C402X";"0402_1005Metric_Pad0.74x0.62mm_HandSolder";11;"100n";;;
10;"U102";"SOT-23-6";1;"USBLC6-2SC6";;;
11X;"R402,R601,R405,R406,R502,R203,R603,R403,R505,R501,R602,R503";"0402_1005Metric_Pad0.74x0.62mm_HandSolder";12;"0R";;;
12X;"R103,R207";"0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"1k";;;
13;"D101,D201";"LED_0603_1608Metric";2;"LED";;;
14;"U101";"SOT-89-5_Handsoldering";1;"XC6210B332PR-G";;;
15X;"R504,R404,R206,R506,R401";"0402_1005Metric_Pad0.74x0.62mm_HandSolder";5;"DNP";;;
16X;"C501,C504,C404,C212";"0402_1005Metric_Pad0.74x0.62mm_HandSolder";4;"10n";;;
17X;"R204";"0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"4k7";;;
18X;"J601";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07_Pin";;;
19X;"R102,R101";"0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"5k1";;;
20X;"J101";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
21X;"C213";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"DNP";;;
22X;"J501";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
23X;"Y202";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"Crystal";;; #Falsche FOOTPRINT PIN 1 ist Falsch
24X;"U401";"BNO086";1;"BNO086";;;
25X;"J703";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
26X;"R208";"0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"0.1R";;;
27;"U501";"ICM-42688-p";1;"ICM-42688-P";;;
28X;"J201";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"DNP";;;
29X;"J702";"PinHeader_1x10_P1.27mm_Vertical_SMD_Pin1Right";1;"Conn_01x10_Pin";;;
